GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,practica2,BinarySearchTree,0,502,5,105,0,107,5,64,0,14
junit5-mps-uma,practica2,BinarySearchTreeException,0,4,0,0,0,2,0,1,0,1
